path,class_name,class_num
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/27.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/18.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/11.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/10.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/39.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/24.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/3.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/34.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/20.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/8.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/36.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/5.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/37.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/28.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/45.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/16.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/25.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/33.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/4.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/42.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/15.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/22.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/41.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/48.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/49.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/38.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/13.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/44.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/26.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/30.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/40.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/46.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/6.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION LX/32.jpg,AION LX,0
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/72.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/29.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/41.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/22.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/30.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/68.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/77.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/4.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/23.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/44.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/27.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/71.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/60.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/43.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/49.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/85.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/12.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/82.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/78.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/18.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/70.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/53.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/48.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/81.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/69.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/45.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/5.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/74.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/14.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/75.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/2.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/28.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/38.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/35.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/76.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/32.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/11.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/87.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/66.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/25.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/21.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/54.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/61.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/7.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/67.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/31.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/58.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/59.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/13.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/52.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/15.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/33.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/80.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/65.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/88.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/73.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/42.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/16.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/17.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/20.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/79.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION S Plus/36.jpg,AION S Plus,1
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/3.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/43.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/56.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/17.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/2.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/13.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/15.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/30.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/27.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/10.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/38.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/23.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/29.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/24.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/46.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/58.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/60.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/33.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/26.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/4.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/6.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/5.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/22.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/45.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/48.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/36.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/49.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/64.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/1.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/31.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/51.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/65.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/41.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/16.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/37.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/28.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/21.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/63.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/53.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/47.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/32.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/34.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/66.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/55.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/20.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/8.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION V/25.jpg,AION V,2
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION Y/30.jpg,AION Y,3
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION Y/72.jpg,AION Y,3
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION Y/42.jpg,AION Y,3
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION Y/55.jpg,AION Y,3
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION Y/1.jpg,AION Y,3
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION Y/16.jpg,AION Y,3
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION Y/29.jpg,AION Y,3
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION Y/13.jpg,AION Y,3
/home/yuxc/bishe/hlx/HomeCars2/广汽埃安/AION Y/49.jpg,AION Y,3
